    T(K)        P(bar)        D(mol/L)
    426.2880    0.2225E+03    0.3732E+01
    431.6880    0.2236E+03    0.3721E+01
    437.1844    0.2247E+03    0.3710E+01
    442.7772    0.2256E+03    0.3698E+01
    448.4663    0.2265E+03    0.3686E+01
    454.2515    0.2272E+03    0.3673E+01
    460.1322    0.2278E+03    0.3660E+01
    466.1077    0.2283E+03    0.3647E+01
    472.1768    0.2287E+03    0.3633E+01
    478.3383    0.2289E+03    0.3618E+01
    484.5905    0.2290E+03    0.3603E+01
    490.9314    0.2290E+03    0.3588E+01
    497.3586    0.2288E+03    0.3572E+01
    503.8695    0.2286E+03    0.3555E+01
    510.4609    0.2281E+03    0.3538E+01
    517.1293    0.2276E+03    0.3520E+01
    523.8709    0.2269E+03    0.3502E+01
    530.6814    0.2260E+03    0.3483E+01
    537.5558    0.2250E+03    0.3463E+01
    544.4892    0.2239E+03    0.3443E+01
    551.4758    0.2226E+03    0.3422E+01
    554.9767    0.2220E+03    0.3411E+01
    560.2882    0.2209E+03    0.3395E+01
    563.8149    0.2201E+03    0.3383E+01
    569.1620    0.2189E+03    0.3366E+01
    572.7092    0.2181E+03    0.3355E+01
    578.0836    0.2167E+03    0.3337E+01
    581.6455    0.2158E+03    0.3325E+01
    587.0384    0.2143E+03    0.3306E+01
    590.6090    0.2133E+03    0.3294E+01
    596.0109    0.2118E+03    0.3274E+01
    599.5839    0.2107E+03    0.3262E+01
    604.9851    0.2090E+03    0.3242E+01
    608.5537    0.2079E+03    0.3228E+01
    613.9441    0.2061E+03    0.3208E+01
    617.5016    0.2049E+03    0.3194E+01
    622.8707    0.2031E+03    0.3172E+01
    626.4102    0.2018E+03    0.3158E+01
    631.7475    0.1999E+03    0.3136E+01
    635.2619    0.1986E+03    0.3121E+01
    640.5568    0.1965E+03    0.3099E+01
    647.5313    0.1938E+03    0.3068E+01
    654.4424    0.1910E+03    0.3037E+01
    661.2814    0.1882E+03    0.3005E+01
    668.0396    0.1853E+03    0.2973E+01
    674.7089    0.1823E+03    0.2940E+01
    681.2811    0.1794E+03    0.2906E+01
    687.7486    0.1764E+03    0.2872E+01
    694.1042    0.1734E+03    0.2838E+01
    700.3411    0.1704E+03    0.2803E+01
    706.4530    0.1674E+03    0.2767E+01
    712.4340    0.1644E+03    0.2732E+01
    718.2790    0.1614E+03    0.2696E+01
    723.9831    0.1584E+03    0.2660E+01
    729.5423    0.1555E+03    0.2624E+01
    734.9528    0.1526E+03    0.2587E+01
    740.2118    0.1497E+03    0.2551E+01
    745.3167    0.1469E+03    0.2515E+01
    750.2657    0.1442E+03    0.2479E+01
    755.0573    0.1415E+03    0.2443E+01
    759.6908    0.1388E+03    0.2407E+01
    764.1658    0.1362E+03    0.2371E+01
    768.4823    0.1337E+03    0.2336E+01
    772.6409    0.1312E+03    0.2301E+01
    776.6426    0.1289E+03    0.2267E+01
    780.4886    0.1265E+03    0.2233E+01
    784.1807    0.1243E+03    0.2200E+01
    784.8038    0.1239E+03    0.2167E+01

  Number of critical points found:            0
    T(K)        P(bar)        D(mol/L)
      T       P      beta     X(1)     X(n)     X(n+1)     X(2*n)    ns  iter
  879.3060  115.0198    0.0000    0.1764   -0.9307   -1.1042    4.0855  19  55
  879.2141  112.5768    0.0009    0.1594   -0.8307   -1.1270    4.1468   8   3
  879.1053  110.1865    0.0017    0.1420   -0.7307   -1.1498    4.2080   8   3
  878.9796  107.8474    0.0025    0.1241   -0.6307   -1.1727    4.2691   8   3
  878.8369  105.5583    0.0032    0.1057   -0.5307   -1.1957    4.3301   8   3
  878.6770  103.3177    0.0039    0.0869   -0.4307   -1.2187    4.3909   8   3
  878.5000  101.1243    0.0045    0.0675   -0.3307   -1.2418    4.4517   8   3
  878.3056   98.9768    0.0051    0.0477   -0.2307   -1.2650    4.5124   8   3
  878.0938   96.8741    0.0057    0.0274   -0.1307   -1.2882    4.5731   8   4
  877.9234   95.3254    0.0061    0.0118   -0.0557   -1.3057    4.6186   8   5
  877.6919   93.3873    0.0065   -0.0085    0.0400   -1.3281    4.6765   8   6
  877.5619   92.3698    0.0068   -0.0195    0.0907   -1.3401    4.7074   8   4
  877.4617   91.6164    0.0069   -0.0278    0.1288   -1.3490    4.7304   8   3
  877.3589   90.8688    0.0071   -0.0362    0.1669   -1.3580    4.7535   8   3
  877.2534   90.1271    0.0073   -0.0447    0.2049   -1.3669    4.7766   8   3
  877.1454   89.3911    0.0074   -0.0532    0.2430   -1.3759    4.7997   8   3
  877.0347   88.6608    0.0076   -0.0618    0.2811   -1.3849    4.8227   8   3
  876.9214   87.9362    0.0077   -0.0705    0.3191   -1.3939    4.8458   8   3
  876.8055   87.2171    0.0079   -0.0793    0.3572   -1.4030    4.8689   8   3
  876.6868   86.5036    0.0080   -0.0881    0.3952   -1.4120    4.8920   8   3
  876.5655   85.7955    0.0082   -0.0970    0.4333   -1.4211    4.9151   8   3
  876.4416   85.0929    0.0083   -0.1060    0.4714   -1.4301    4.9382   8   3
  876.3149   84.3956    0.0085   -0.1151    0.5094   -1.4392    4.9613   8   2
  876.1198   83.3596    0.0087   -0.1289    0.5665   -1.4529    4.9960   8   3
  875.9186   82.3354    0.0088   -0.1428    0.6236   -1.4666    5.0307   8   3
  875.7113   81.3227    0.0090   -0.1569    0.6807   -1.4803    5.0655   8   3
  875.4977   80.3216    0.0092   -0.1712    0.7378   -1.4941    5.1002   8   3
  875.2780   79.3316    0.0094   -0.1857    0.7949   -1.5079    5.1350   8   3
  875.0519   78.3528    0.0095   -0.2003    0.8520   -1.5217    5.1698   8   2
  874.7011   76.9050    0.0098   -0.2226    0.9376   -1.5426    5.2221   8   3
  874.3359   75.4813    0.0100   -0.2453    1.0233   -1.5635    5.2745   8   3
  873.9562   74.0812    0.0102   -0.2685    1.1089   -1.5845    5.3270   8   3
  873.5620   72.7042    0.0104   -0.2920    1.1945   -1.6056    5.3795   8   3
  873.1531   71.3498    0.0106   -0.3159    1.2802   -1.6268    5.4322   8   3
  872.7293   70.0175    0.0108   -0.3402    1.3658   -1.6481    5.4849   8   3
  872.2906   68.7070    0.0109   -0.3650    1.4515   -1.6694    5.5378   8   2
  871.6477   66.8992    0.0112   -0.4005    1.5719   -1.6997    5.6124   8   3
  870.9746   65.1324    0.0114   -0.4367    1.6924   -1.7301    5.6872   8   3
  870.2708   63.4054    0.0116   -0.4738    1.8129   -1.7608    5.7623   8   3
  869.5361   61.7172    0.0117   -0.5117    1.9334   -1.7917    5.8377   8   3
