    T(K)        P(bar)        D(mol/L)
    310.0000    0.2522E-29    0.9784E-31
    311.5588    0.4560E-29    0.1760E-30
    313.7515    0.1037E-28    0.3976E-30
    315.9655    0.2348E-28    0.8938E-30
    318.2011    0.5288E-28    0.1999E-29
    320.4584    0.1185E-27    0.4448E-29
    322.7378    0.2642E-27    0.9847E-29
    325.0395    0.5862E-27    0.2169E-28
    327.3636    0.1294E-26    0.4755E-28
    329.7105    0.2843E-26    0.1037E-27
    332.0805    0.6212E-26    0.2250E-27
    334.4737    0.1351E-25    0.4858E-27
    336.8904    0.2923E-25    0.1043E-26
    339.3309    0.6292E-25    0.2230E-26
    341.7954    0.1348E-24    0.4743E-26
    344.2843    0.2873E-24    0.1004E-25
    346.7977    0.6092E-24    0.2113E-25
    349.3359    0.1285E-23    0.4426E-25
    351.8992    0.2699E-23    0.9224E-25
    354.4879    0.5638E-23    0.1913E-24
    357.1023    0.1172E-22    0.3947E-24
    359.7425    0.2423E-22    0.8102E-24
    362.4090    0.4987E-22    0.1655E-23
    365.1019    0.1021E-21    0.3364E-23
    367.8215    0.2080E-21    0.6802E-23
    370.5681    0.4216E-21    0.1368E-22
    373.3421    0.8504E-21    0.2740E-22
    376.1436    0.1707E-20    0.5457E-22
    378.9730    0.3408E-20    0.1081E-21
    381.8305    0.6770E-20    0.2132E-21
    384.7164    0.1338E-19    0.4184E-21
    387.6311    0.2632E-19    0.8167E-21
    390.5747    0.5152E-19    0.1586E-20
    393.5477    0.1003E-18    0.3066E-20
    396.5502    0.1944E-18    0.5895E-20
    399.5826    0.3747E-18    0.1128E-19
    402.6451    0.7187E-18    0.2147E-19
    405.7380    0.1372E-17    0.4066E-19
    408.8616    0.2605E-17    0.7663E-19
    412.0163    0.4922E-17    0.1437E-18
    415.2022    0.9254E-17    0.2681E-18
    418.4196    0.1731E-16    0.4976E-18
    421.6690    0.3222E-16    0.9190E-18
    424.9504    0.5967E-16    0.1689E-17
    428.2642    0.1099E-15    0.3088E-17
    431.6108    0.2016E-15    0.5617E-17
    434.9902    0.3677E-15    0.1017E-16
    438.4029    0.6675E-15    0.1831E-16
    441.8491    0.1205E-14    0.3281E-16
    445.3290    0.2166E-14    0.5850E-16
    448.8429    0.3873E-14    0.1038E-15
    452.3911    0.6890E-14    0.1832E-15
    455.9738    0.1220E-13    0.3217E-15
    459.5912    0.2148E-13    0.5621E-15
    463.2436    0.3764E-13    0.9773E-15
    466.9313    0.6564E-13    0.1691E-14
    470.6544    0.1139E-12    0.2910E-14
    474.4132    0.1966E-12    0.4983E-14
    478.2078    0.3376E-12    0.8491E-14
    482.0386    0.5770E-12    0.1440E-13
    485.9056    0.9811E-12    0.2428E-13
    489.8091    0.1660E-11    0.4076E-13
    493.7491    0.2794E-11    0.6806E-13
    497.7260    0.4680E-11    0.1131E-12
    501.7399    0.7800E-11    0.1870E-12
    505.7907    0.1293E-10    0.3075E-12
    509.8788    0.2134E-10    0.5034E-12
    514.0042    0.3503E-10    0.8197E-12
    518.1670    0.5722E-10    0.1328E-11
    522.9464    0.9936E-10    0.2285E-11
    527.7859    0.1716E-09    0.3911E-11
    532.6864    0.2950E-09    0.6660E-11
    537.6486    0.5043E-09    0.1128E-10
    542.6734    0.8576E-09    0.1901E-10
    547.7616    0.1451E-08    0.3186E-10
    552.9141    0.2442E-08    0.5312E-10
    558.1316    0.4089E-08    0.8810E-10
    563.4150    0.6810E-08    0.1454E-09
    568.7652    0.1128E-07    0.2386E-09
    574.1830    0.1860E-07    0.3895E-09
    579.6691    0.3049E-07    0.6327E-09
    585.2245    0.4974E-07    0.1022E-08
    590.8500    0.8070E-07    0.1643E-08
    596.5464    0.1303E-06    0.2626E-08
    602.3146    0.2092E-06    0.4176E-08
    608.1553    0.3341E-06    0.6607E-08
    614.0693    0.5308E-06    0.1040E-07
    620.0575    0.8390E-06    0.1627E-07
    626.1207    0.1319E-05    0.2534E-07
    632.2596    0.2063E-05    0.3925E-07
    638.4749    0.3210E-05    0.6047E-07
    644.7675    0.4968E-05    0.9268E-07
    651.1381    0.7649E-05    0.1413E-06
    657.5873    0.1171E-04    0.2143E-06
    664.1158    0.1785E-04    0.3232E-06
    670.7242    0.2704E-04    0.4849E-06
    677.4133    0.4077E-04    0.7238E-06
    684.1835    0.6113E-04    0.1075E-05
    691.0355    0.9118E-04    0.1587E-05
    697.9696    0.1353E-03    0.2331E-05
    704.9864    0.1996E-03    0.3406E-05
    708.5145    0.2419E-03    0.4106E-05
    713.8887    0.3226E-03    0.5435E-05
    717.4686    0.3896E-03    0.6531E-05
    722.9220    0.5170E-03    0.8601E-05
    726.5539    0.6222E-03    0.1030E-04
    732.0868    0.8216E-03    0.1350E-04
    735.7707    0.9856E-03    0.1611E-04
    741.3832    0.1295E-02    0.2101E-04
    745.1193    0.1548E-02    0.2499E-04
    750.8114    0.2024E-02    0.3242E-04
    754.5994    0.2412E-02    0.3844E-04
    760.3708    0.3137E-02    0.4961E-04
    764.2105    0.3725E-02    0.5863E-04
    770.0609    0.4821E-02    0.7530E-04
    773.9519    0.5707E-02    0.8869E-04
    779.8803    0.7348E-02    0.1133E-03
    783.8220    0.8669E-02    0.1330E-03
    789.8275    0.1111E-01    0.1691E-03
    793.8188    0.1306E-01    0.1979E-03
    799.8998    0.1665E-01    0.2503E-03
    803.9396    0.1951E-01    0.2919E-03
    810.0939    0.2474E-01    0.3674E-03
    814.1805    0.2890E-01    0.4270E-03
    820.4054    0.3646E-01    0.5347E-03
    824.5367    0.4244E-01    0.6193E-03
    830.8284    0.5329E-01    0.7717E-03
    835.0015    0.6181E-01    0.8908E-03
    841.3554    0.7721E-01    0.1104E-02
    845.5668    0.8927E-01    0.1271E-02
    851.9768    0.1109E+00    0.1567E-02
    856.2218    0.1278E+00    0.1797E-02
    862.6802    0.1580E+00    0.2206E-02
    866.9532    0.1815E+00    0.2521E-02
    873.4504    0.2232E+00    0.3078E-02
    877.7442    0.2554E+00    0.3506E-02
    884.2681    0.3126E+00    0.4260E-02
    888.5739    0.3565E+00    0.4836E-02
    895.1100    0.4340E+00    0.5847E-02
    899.4169    0.4932E+00    0.6615E-02
    905.9469    0.5974E+00    0.7957E-02
    910.2419    0.6766E+00    0.8973E-02
    916.7441    0.8152E+00    0.1074E-01
    921.0112    0.9201E+00    0.1207E-01
    927.4594    0.1103E+01    0.1438E-01
    931.6799    0.1240E+01    0.1611E-01
    938.0430    0.1479E+01    0.1910E-01
    942.1947    0.1658E+01    0.2132E-01
    948.4362    0.1967E+01    0.2515E-01
    952.4931    0.2197E+01    0.2800E-01
    958.5706    0.2593E+01    0.3287E-01
    962.5026    0.2886E+01    0.3648E-01
    968.3671    0.3389E+01    0.4263E-01
    972.1398    0.3760E+01    0.4715E-01
    977.7354    0.4392E+01    0.5485E-01
    981.3097    0.4856E+01    0.6050E-01
    986.5728    0.5643E+01    0.7007E-01
    993.1641    0.6852E+01    0.8473E-01
    999.2787    0.8276E+01    0.1020E+00
   1004.8453    0.9945E+01    0.1223E+00
   1009.7857    0.1189E+02    0.1460E+00
   1014.0146    0.1414E+02    0.1736E+00
   1017.4376    0.1675E+02    0.2056E+00
   1019.9504    0.1974E+02    0.2426E+00
   1021.4368    0.2315E+02    0.2854E+00
   1021.7655    0.2704E+02    0.3346E+00
   1020.7865    0.3146E+02    0.3912E+00
   1018.3258    0.3644E+02    0.4561E+00
   1014.1774    0.4204E+02    0.5306E+00
   1008.2358    0.4819E+02    0.6141E+00
   1000.2004    0.5499E+02    0.7091E+00
    995.3519    0.5861E+02    0.7609E+00
    991.2370    0.6148E+02    0.8025E+00
    984.2015    0.6605E+02    0.8701E+00
    978.1631    0.6970E+02    0.9252E+00
    973.1546    0.7256E+02    0.9692E+00
    969.1033    0.7477E+02    0.1004E+01
    962.5098    0.7822E+02    0.1059E+01
    957.1219    0.8089E+02    0.1102E+01
    952.8103    0.8295E+02    0.1136E+01
    945.8712    0.8612E+02    0.1190E+01
    940.2647    0.8856E+02    0.1233E+01
    935.8151    0.9043E+02    0.1266E+01
    928.7169    0.9327E+02    0.1317E+01
    923.0337    0.9545E+02    0.1358E+01
    918.5540    0.9709E+02    0.1389E+01
    911.4599    0.9959E+02    0.1438E+01
    905.8239    0.1015E+03    0.1477E+01
    901.4075    0.1029E+03    0.1506E+01
    894.4586    0.1050E+03    0.1552E+01
    888.9759    0.1066E+03    0.1588E+01
    884.7022    0.1078E+03    0.1616E+01
    878.0174    0.1096E+03    0.1658E+01
    872.7763    0.1109E+03    0.1691E+01
    868.7109    0.1119E+03    0.1716E+01
    862.3866    0.1133E+03    0.1755E+01
    857.4573    0.1144E+03    0.1785E+01
    853.6513    0.1152E+03    0.1808E+01
    847.7606    0.1163E+03    0.1843E+01
    843.1945    0.1172E+03    0.1870E+01
