    T(K)        P(bar)        D(mol/L)
    879.3060    0.1150E+03    0.1579E+01
    879.2141    0.1126E+03    0.1555E+01
    879.1053    0.1102E+03    0.1532E+01
    878.9796    0.1078E+03    0.1509E+01
    878.8369    0.1056E+03    0.1486E+01
    878.6770    0.1033E+03    0.1463E+01
    878.5000    0.1011E+03    0.1440E+01
    878.3056    0.9898E+02    0.1418E+01
    878.0938    0.9687E+02    0.1395E+01
    877.9234    0.9533E+02    0.1378E+01
    877.6919    0.9339E+02    0.1357E+01
    877.5619    0.9237E+02    0.1346E+01
    877.4617    0.9162E+02    0.1337E+01
    877.3589    0.9087E+02    0.1329E+01
    877.2534    0.9013E+02    0.1320E+01
    877.1454    0.8939E+02    0.1312E+01
    877.0347    0.8866E+02    0.1304E+01
    876.9214    0.8794E+02    0.1295E+01
    876.8055    0.8722E+02    0.1287E+01
    876.6868    0.8650E+02    0.1279E+01
    876.5655    0.8580E+02    0.1271E+01
    876.4416    0.8509E+02    0.1262E+01
    876.3149    0.8440E+02    0.1254E+01
    876.1198    0.8336E+02    0.1242E+01
    875.9186    0.8234E+02    0.1230E+01
    875.7113    0.8132E+02    0.1218E+01
    875.4977    0.8032E+02    0.1205E+01
    875.2780    0.7933E+02    0.1193E+01
    875.0519    0.7835E+02    0.1181E+01
    874.7011    0.7691E+02    0.1163E+01
    874.3359    0.7548E+02    0.1146E+01
    873.9562    0.7408E+02    0.1128E+01
    873.5620    0.7270E+02    0.1111E+01
    873.1531    0.7135E+02    0.1093E+01
    872.7293    0.7002E+02    0.1076E+01
    872.2906    0.6871E+02    0.1059E+01
    871.6477    0.6690E+02    0.1035E+01
    870.9746    0.6513E+02    0.1011E+01
    870.2708    0.6341E+02    0.9881E+00
    869.5361    0.6172E+02    0.9651E+00
    868.7699    0.6007E+02    0.9424E+00
    867.8173    0.5815E+02    0.9157E+00
    866.8192    0.5629E+02    0.8894E+00
    865.7752    0.5447E+02    0.8636E+00
    864.5734    0.5253E+02    0.8356E+00
    863.2746    0.5058E+02    0.8073E+00
    861.8727    0.4864E+02    0.7788E+00
    860.3611    0.4670E+02    0.7500E+00
    858.7333    0.4477E+02    0.7210E+00
    856.9825    0.4285E+02    0.6920E+00
    855.1019    0.4095E+02    0.6629E+00
    853.0843    0.3906E+02    0.6339E+00
    850.9226    0.3720E+02    0.6050E+00
    848.6097    0.3535E+02    0.5762E+00
    846.1383    0.3354E+02    0.5477E+00
    843.5013    0.3175E+02    0.5195E+00
    840.6917    0.3000E+02    0.4916E+00
    837.7025    0.2828E+02    0.4642E+00
    834.5270    0.2660E+02    0.4372E+00
    831.1589    0.2496E+02    0.4109E+00
    827.5921    0.2337E+02    0.3851E+00
    823.8210    0.2182E+02    0.3600E+00
    819.8403    0.2031E+02    0.3356E+00
    815.6456    0.1886E+02    0.3121E+00
    811.2329    0.1746E+02    0.2893E+00
    806.5990    0.1611E+02    0.2674E+00
    801.7415    0.1482E+02    0.2463E+00
    796.6587    0.1359E+02    0.2262E+00
    791.3502    0.1241E+02    0.2071E+00
    785.8163    0.1130E+02    0.1889E+00
    780.0586    0.1025E+02    0.1717E+00
    774.0797    0.9252E+01    0.1555E+00
    767.8835    0.8320E+01    0.1403E+00
    761.4750    0.7450E+01    0.1260E+00
    754.8607    0.6640E+01    0.1128E+00
    748.0483    0.5891E+01    0.1005E+00
    741.0467    0.5201E+01    0.8913E-01
    737.4643    0.4877E+01    0.8379E-01
    732.0622    0.4421E+01    0.7627E-01
    728.3744    0.4132E+01    0.7149E-01
    722.8220    0.3728E+01    0.6479E-01
    719.0389    0.3473E+01    0.6055E-01
    713.3521    0.3118E+01    0.5463E-01
    709.4849    0.2895E+01    0.5089E-01
    703.6809    0.2585E+01    0.4570E-01
    699.7418    0.2392E+01    0.4244E-01
    693.8395    0.2125E+01    0.3793E-01
    689.8414    0.1959E+01    0.3511E-01
    683.8604    0.1731E+01    0.3122E-01
    679.8169    0.1590E+01    0.2881E-01
    673.7775    0.1398E+01    0.2549E-01
    669.4897    0.1273E+01    0.2334E-01
    663.1397    0.1106E+01    0.2043E-01
    658.8948    0.1005E+01    0.1866E-01
    652.6133    0.8700E+00    0.1628E-01
    648.4182    0.7885E+00    0.1483E-01
    642.2144    0.6797E+00    0.1289E-01
    638.0746    0.6144E+00    0.1172E-01
    631.9560    0.5276E+00    0.1015E-01
    627.8761    0.4756E+00    0.9198E-02
